n,t
10,0.04219245910644531
15,0.08180451393127441
20,0.15519094467163086
25,0.2388005256652832
30,0.34423208236694336
35,0.5094261169433594
40,0.6429755687713623
45,0.8611135482788086
50,1.0462937355041504
55,1.226240634918213
60,1.5956573486328125
65,1.8451118469238281
70,2.2111315727233887
75,2.523881673812866
80,2.9250223636627197
85,3.2244410514831543
90,3.5994222164154053
95,4.003790378570557
100,4.574979543685913
105,5.08081316947937
110,5.744353771209717
115,6.077425718307495
120,6.7906577587127686
125,7.236943483352661
130,8.053932905197144
135,8.579537153244019
140,9.339645147323608
145,9.97297215461731
150,10.949580430984497
155,11.753925561904907
160,12.712253093719482
165,13.376441955566406
170,13.977900981903076
175,14.840917587280273
180,15.97327446937561
185,16.740280628204346
190,18.068840503692627
195,18.706669569015503
